"id","title","description","technologies__001","technologies__002","technologies__003","type","image","missions__001","missions__002","missions__003","missions__004","missions__005","missions__006"
"1","test 1","Application web moderne développée avec React et TypeScript pour la gestion dynamique de contenus interactifs.","React","TypeScript","CSS","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"2","Project 2","Plateforme e-commerce optimisée pour la performance avec paiement sécurisé intégré.","Next.js","Node.js","MongoDB","E-commerce","https://picsum.photos/246/136","Développement full stack","Administration serveurs (Plesk)","Campagnes emailing Pardot","Création de sites responsive","",""
"3","Project 3","Dashboard analytique affichant des données en temps réel avec filtres avancés.","Vue","Firebase","Tailwind","Dashboard","https://picsum.photos/246/136","Conception UX/UI","Développement front-end et back-end","Intégration CMS Joomla","Maintenance évolutive","Optimisation SEO",""
"4","Project 4","Portfolio créatif mettant en valeur des projets visuels avec animations fluides.","React","Framer Motion","SCSS","Portfolio","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"5","Project 5","Application mobile hybride permettant la gestion de tâches synchronisées.","React Native","Expo","Firebase","Mobile App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"6","Project 6","Outil SaaS de collaboration avec messagerie et gestion d’équipe.","Angular","Node.js","PostgreSQL","SaaS","https://picsum.photos/246/136","Refonte globale du site","Développement d’un système de réservation","Gestion multilingue","Animations interactives","",""
"7","Project 7","Landing page optimisée SEO pour startup technologique innovante.","HTML","CSS","JavaScript","Landing Page","https://picsum.photos/246/136","Conception UX/UI","Développement front-end et back-end","Intégration CMS Joomla","Maintenance évolutive","Optimisation SEO",""
"8","Project 8","Blog dynamique avec authentification sécurisée et gestion d’articles.","Next.js","Prisma","MySQL","Blog","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"9","Project 9","Système de réservation en ligne avec notifications automatiques.","React","Node.js","Stripe","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"10","Project 10","Plateforme éducative interactive avec suivi de progression.","Vue","Firebase","Bootstrap","Education","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"11","Project 11","Application de gestion de projets avec tableau Kanban dynamique.","React","TypeScript","Redux","SaaS","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"12","Project 12","Site vitrine moderne avec animations légères et responsive design.","HTML","CSS","GSAP","Website","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"13","Project 13","Outil interne de reporting avec export CSV et filtres personnalisés.","Angular","Node.js","MySQL","Dashboard","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"14","Project 14","Application météo avec API externe et affichage dynamique.","React","REST API","CSS","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"15","Project 15","Plateforme communautaire avec système de commentaires en temps réel.","Vue","Firebase","Tailwind","Community","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"16","Project 16","Application de notes sécurisée avec stockage cloud.","Next.js","Supabase","TypeScript","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"17","Project 17","Mini réseau social avec authentification JWT.","Node.js","MongoDB","React","Social","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"18","Project 18","Plateforme de streaming audio avec lecteur personnalisé.","Vue","Express","PostgreSQL","Media","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"19","Project 19","Application de suivi sportif avec statistiques détaillées.","React Native","Firebase","Charts.js","Mobile App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"20","Project 20","Marketplace multi-vendeurs avec gestion des commandes.","Next.js","Stripe","MongoDB","E-commerce","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"21","Project 21","Interface d’administration avec gestion des rôles utilisateurs.","React","TypeScript","Material UI","Dashboard","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"22","Project 22","Application événementielle avec billetterie intégrée.","Vue","Node.js","Stripe","Event","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"23","Project 23","Site d’agence digitale avec CMS headless.","Next.js","Sanity","Tailwind","Website","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"24","Project 24","Application bancaire démo avec transactions simulées.","Angular","TypeScript","RxJS","Fintech","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"25","Project 25","Plateforme de formation en ligne avec vidéos intégrées.","React","Firebase","Stripe","Education","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"26","Project 26","Application de gestion immobilière avec cartes interactives.","Vue","Leaflet","Node.js","Real Estate","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"27","Project 27","Système de chat temps réel avec WebSockets.","React","Socket.io","Express","Communication","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"28","Project 28","Site e-commerce minimaliste avec panier dynamique.","Next.js","MongoDB","Stripe","E-commerce","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
